strike_id,country,date_str,president,location,coords_raw,latitude,longitude,total_deaths_min,total_deaths_max,civilian_deaths_min,civilian_deaths_max,children_deaths,injured_min,injured_max,total_deaths,civilian_deaths,civilians_uncertain,date,year,month,civilians_forced
AFG001,Afghanistan,01-01-2015,Obama,"Spera, Khost, Afghanistan","33.19392, 69.515022",33.19392,69.515022,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,2015-01-01,2015,1,False
AFG002,Afghanistan,01-03-2015,Obama,"Gayan, Paktika, Afghanistan","32.984041,69.430782",32.984041,69.430782,18.0,18.0,0.0,0.0,0,0,0,18.0,0.0,False,2015-03-01,2015,3,False
AFG003,Afghanistan,01-03-2015,Obama,"Spera, Khost, Afghanistan","32.8078448,68.6456967",32.8078448,68.6456967,7.0,7.0,0.0,0.0,0,0,0,7.0,0.0,False,2015-03-01,2015,3,False
AFG004,Afghanistan,01-06-2015,Obama,"Dara I Pech, Kunar, Afghanistan","34.872898,71.155620",34.872898,71.15562,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,2015-06-01,2015,6,False
AFG005,Afghanistan,01-07-2015,Obama,"Logar, Afghanistan","34.014551,69.192391",34.014551,69.192391,3.0,3.0,0.0,0.0,0,0,0,3.0,0.0,False,2015-07-01,2015,7,False
AFG006,Afghanistan,01-08-2015,Obama,"Chikanawr, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.95468,6.0,6.0,0.0,0.0,0,0,3,6.0,0.0,False,2015-08-01,2015,8,False
AFG007,Afghanistan,01-11-2015,Obama,"Chikanawr, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.95468,8.0,8.0,0.0,0.0,0,0,3,8.0,0.0,False,2015-11-01,2015,11,False
AFG011,Afghanistan,02-08-2015,Obama,"Azankarez, Kajak, Helmand, Afghanistan","32.339473,65.143251",32.339473,65.143251,6.0,8.0,0.0,0.0,0,0,0,8.0,0.0,False,2015-08-02,2015,8,False
AFG012,Afghanistan,02-10-2015,Obama,"Khas Kunar, Kunar, Afghanistan","34.643368,71.026004",34.643368,71.026004,2.0,2.0,0.0,0.0,0,0,0,2.0,0.0,False,2015-10-02,2015,10,False
AFG013,Afghanistan,02-11-2015,Obama,"Nazyan, Nangarhar, Afghanistan","34.118171,70.752529",34.118171,70.752529,2.0,9.0,0.0,0.0,0,0,0,9.0,0.0,False,2015-11-02,2015,11,False
AFG015,Afghanistan,02-03-2015,Obama,"Alishir, Khost, Afghanistan","33.394839,70.044359",33.394839,70.044359,1.0,1.0,0.0,1.0,0,0,0,1.0,1.0,False,2015-03-02,2015,3,False
AFG016,Afghanistan,03-10-2015,Obama,"Mamond, Achin, Nangarhar, Afghanistan","34.215777,71.026004",34.215777,71.026004,6.0,6.0,0.0,0.0,0,0,0,6.0,0.0,False,2015-10-03,2015,10,False
AFG017,Afghanistan,03-11-2015,Obama,"Sarakani, Kunar, Afghanistan","34.801712,71.216142",34.801712,71.216142,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,2015-11-03,2015,11,False
AFG024,Afghanistan,04-12-2015,Obama,"Dara I Pech, Kunar, Afghanistan","34.872898,71.155620",34.872898,71.15562,3.0,3.0,0.0,0.0,0,0,0,3.0,0.0,False,2015-12-04,2015,12,False
AFG026,Afghanistan,05-03-2015,Obama,"Mohmand Dara, Nangarhar, Afghanistan","34.215777,71.026004",34.215777,71.026004,12.0,12.0,0.0,0.0,0,0,0,12.0,0.0,False,2015-03-05,2015,3,False
AFG027,Afghanistan,05-04-2015,Obama,"Dabili, Landi Basawal area, Mohmand Dara, Nangarhar, Afghanistan","34.215777,71.026004",34.215777,71.026004,17.0,17.0,0.0,0.0,0,0,0,17.0,0.0,False,2015-04-05,2015,4,False
AFG028,Afghanistan,05-07-2015,Obama,"Khas Khar, Kunar, Afghanistan","34.643368,71.026004",34.643368,71.026004,6.0,7.0,0.0,1.0,0,1,0,7.0,1.0,False,2015-07-05,2015,7,False
AFG029,Afghanistan,05-07-2015,Obama,"Goshti, Nangarhar, Afghanistan","34.171831,70.621679",34.171831,70.621679,4.0,4.0,0.0,0.0,0,0,0,4.0,0.0,False,2015-07-05,2015,7,False
AFG030,Afghanistan,05-09-2015,Obama,"Machi Megi, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.95468,13.0,13.0,0.0,0.0,0,0,0,13.0,0.0,False,2015-09-05,2015,9,False
AFG037,Afghanistan,06-03-2015,Obama,"Shogam area, Shigal, Kunar, Afghanistan","35.118055,71.228333",35.118055,71.228333,3.0,6.0,0.0,0.0,0,0,0,6.0,0.0,False,2015-03-06,2015,3,False
AFG038,Afghanistan,06-04-2015,Obama,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,70.667034,1.0,1.0,0.0,0.0,0,0,0,1.0,0.0,False,2015-04-06,2015,4,False
AFG039,Afghanistan,06-04-2015,Obama,"Chapahar, Nangarhar, Afghanistan","34.328976,70.407486",34.328976,70.407486,6.0,6.0,0.0,1.0,0,0,0,6.0,1.0,False,2015-04-06,2015,4,False
AFG040,Afghanistan,06-04-2015,Obama,"Chapahar, Nangarhar, Afghanistan","34.328976,70.407486",34.328976,70.407486,11.0,11.0,0.0,0.0,0,0,0,11.0,0.0,False,2015-04-06,2015,4,False
AFG041,Afghanistan,06-05-2015,Obama,"Ali Shir, Tere Zayi, Khost, Afghanistan","33.388710,70.169394",33.38871,70.169394,14.0,14.0,14.0,14.0,0,0,0,14.0,14.0,False,2015-05-06,2015,5,False
AFG042,Afghanistan,06-07-2015,Obama,"Chapa Dara, Kunar, Afghanistan","34.920175,70.764423",34.920175,70.764423,1.0,1.0,0.0,0.0,0,0,0,1.0,0.0,False,2015-07-06,2015,7,False
AFG043,Afghanistan,06-08-2015,Obama,"Samso, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.95468,7.0,7.0,0.0,5.0,0,5,0,7.0,5.0,False,2015-08-06,2015,8,False
AFG044,Afghanistan,06-08-2015,Obama,"Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.95468,3.0,3.0,0.0,0.0,0,0,0,3.0,0.0,False,2015-08-06,2015,8,False
AFG045,Afghanistan,06-11-2015,Obama,"Maroufkhil, Khushamand, Paktika, Afghanistan","32.264538,68.524714",32.264538,68.524714,30.0,30.0,0.0,0.0,0,0,0,30.0,0.0,False,2015-11-06,2015,11,False
AFG046,Afghanistan,06-11-2015,Obama,"Jarkani, Yousufkhil, Paktika, Afghanistan","32.264538,68.524714",32.264538,68.524714,2.0,2.0,0.0,0.0,0,0,0,2.0,0.0,False,2015-11-06,2015,11,False
AFG058,Afghanistan,07-04-2015,Obama,"Ghanikhel, Nangarhar, Afghanistan","34.516667,70.149999",34.516667,70.149999,12.0,12.0,0.0,0.0,0,0,0,12.0,0.0,False,2015-04-07,2015,4,False
AFG059,Afghanistan,07-04-2015,Obama,"Chappa Dara, Kunar, Afghanistan","34.920175,70.764423",34.920175,70.764423,1.0,1.0,0.0,0.0,0,0,0,1.0,0.0,False,2015-04-07,2015,4,False
AFG060,Afghanistan,07-04-2015,Obama,"Dara I Pech, Nangarhar, Afghanistan","34.872898,71.155620",34.872898,71.15562,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,2015-04-07,2015,4,False
AFG061,Afghanistan,07-05-2015,Obama,"Chaparhar, Nangarhar, Afghanistan","34.328976,70.407486",34.328976,70.407486,3.0,3.0,0.0,0.0,0,0,0,3.0,0.0,False,2015-05-07,2015,5,False
AFG062,Afghanistan,07-06-2015,Obama,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,70.667034,12.0,12.0,0.0,0.0,0,0,0,12.0,0.0,False,2015-06-07,2015,6,False
AFG063,Afghanistan,07-06-2015,Obama,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,70.667034,13.0,37.0,0.0,0.0,0,0,0,37.0,0.0,False,2015-06-07,2015,6,False
AFG064,Afghanistan,07-07-2015,Obama,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,70.667034,11.0,49.0,0.0,0.0,0,0,0,49.0,0.0,False,2015-07-07,2015,7,False
AFG065,Afghanistan,07-07-2015,Obama,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,70.667034,18.0,18.0,0.0,0.0,0,0,0,18.0,0.0,False,2015-07-07,2015,7,False
AFG066,Afghanistan,07-07-2015,Obama,"Haska Meena, Nangarhar, Afghanistan","34.092630,70.469224",34.09263,70.469224,25.0,25.0,0.0,0.0,0,0,0,25.0,0.0,False,2015-07-07,2015,7,False
AFG067,Afghanistan,07-07-2015,Obama,"Bati Kot, Nangarhar, Afghanistan","34.263148,70.788209",34.263148,70.788209,4.0,4.0,0.0,0.0,0,0,2,4.0,0.0,False,2015-07-07,2015,7,False
AFG068,Afghanistan,07-08-2015,Obama,"Tangi, Dih Bala, Nangarhar, Afghanistan","34.092630,70.469224",34.09263,70.469224,25.0,52.0,0.0,0.0,0,0,0,52.0,0.0,False,2015-08-07,2015,8,False
AFG069,Afghanistan,07-10-2015,Obama,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,70.667034,30.0,31.0,0.0,0.0,0,0,0,31.0,0.0,False,2015-10-07,2015,10,False
AFG070,Afghanistan,07-11-2015,Obama,"Bermal, Paktika, Afghanistan","32.746111,69.297777",32.746111,69.297777,3.0,3.0,0.0,0.0,0,0,0,3.0,0.0,False,2015-11-07,2015,11,False
